"epsilon","zeta","nu_short[1]","nu_short[2]","nu_short[3]","nu_short[4]","nu_short[5]","nu_short[6]","nu_short[7]","nu_short[8]","nu_short[9]","nu_short[10]","inoculum","beta_short[1]","beta_short[2]","beta_short[3]","r","alpha","gamma","x0","k0","x1","k1","x2","k2","x3","k3","x4","k4","u1","u2","u3","u4"
0.0597499,0.890362,0.000382326,0.000437996,0.000623172,0.00124293,0.00175579,0.00236529,0.00458115,0.00905199,0.0197631,0.0610202,8.89056e-05,0.563822,0.938433,1,51.244,0.359509,0.337958,27.946,0.976673,67.482,0.674348,179.983,0.439087,257.937,0.816915,298.822,4.03138,0.199846,0.400894,0.227253,0.43462
0.0586487,0.76174,0.000455014,0.0002563,0.000564311,0.00104292,0.00138517,0.00183194,0.00344592,0.00686563,0.0148722,0.048376,9.37313e-05,0.489328,0.960388,1,52.5055,0.3176,0.296066,27.6517,1.50748,65.9677,2.0754,179.729,1.96732,259.679,4.29493,299.16,0.988917,0.182076,0.377105,0.199068,0.431078
0.0529713,0.775861,0.000399121,0.000563339,0.000688674,0.00102168,0.00145634,0.00186633,0.00351059,0.00741031,0.0163683,0.0507318,7.48888e-05,0.401951,0.961317,1,46.0755,0.385856,0.273018,28.7815,0.825766,63.6126,0.808705,176.671,0.695626,259.786,0.26799,296.051,0.776404,0.19281,0.394412,0.200909,0.407577
0.0662417,0.806376,0.000834017,0.000485732,0.000970762,0.00126773,0.00165559,0.00219227,0.00408335,0.00836944,0.0184338,0.0601279,8.41492e-05,0.398917,0.961222,1,64.0527,0.299465,0.338952,27.617,1.25219,66.2845,0.338403,176.068,2.42574,263.128,2.58307,298.116,1.66254,0.176123,0.368962,0.183217,0.428988
0.0663958,0.764891,0.000719923,0.000522313,0.000817728,0.00124606,0.00157264,0.00224949,0.00403525,0.00843619,0.0182247,0.0601847,8.18334e-05,0.383429,0.981132,1,63.4816,0.286404,0.334239,27.8979,1.63389,65.7806,0.398052,176.806,2.33263,262.549,1.34332,297.617,2.00052,0.178976,0.368469,0.182477,0.420246
0.0554226,0.793086,0.000428888,0.000508798,0.00064666,0.00114126,0.0015625,0.00214154,0.00390604,0.00782894,0.017648,0.055175,4.66641e-05,0.430997,0.939822,1,64.3166,0.48258,0.279344,27.2381,0.440462,64.5208,2.00346,180.74,0.57422,256.502,0.902898,296.478,0.5384,0.183695,0.360242,0.202734,0.364445
0.0490253,0.826901,0.000495251,0.000332242,0.000656922,0.000952746,0.00128046,0.00176999,0.00319428,0.00683126,0.0144911,0.0459699,7.90689e-05,0.455874,0.972718,1,47.9109,0.467092,0.261478,27.3938,0.754433,65.3376,4.36022,178.307,0.672807,262.208,0.3498,297.44,1.41104,0.182137,0.375289,0.185817,0.42777
0.0525674,0.710844,0.000253589,0.000279587,0.000435715,0.000803204,0.00110073,0.00150664,0.00278199,0.00534382,0.0117296,0.0354238,0.00010068,0.45811,0.897053,1,48.856,0.385112,0.241199,26.9174,0.491538,65.3614,1.64373,180.859,0.26638,258.821,0.680482,296.309,1.49672,0.183897,0.376351,0.195756,0.397872
0.0560818,0.70962,0.000352219,0.000222697,0.000485863,0.000967305,0.00126317,0.00172833,0.00326057,0.00656362,0.0140751,0.0438908,9.31322e-05,0.536391,0.921947,1,73.9301,0.326162,0.273756,28.1112,0.639506,62.9621,3.34532,179.227,6.0772,258.762,0.784879,297.814,2.62828,0.197543,0.387179,0.215685,0.41741
0.055664,0.731851,0.000347247,0.000228954,0.000480452,0.00108412,0.00129284,0.00180216,0.00326071,0.00673773,0.014592,0.0455592,9.16042e-05,0.484806,0.90342,1,73.735,0.34794,0.268337,28.1019,0.558702,63.2846,2.11973,179.181,4.816,258.555,0.638339,298.182,3.13725,0.192556,0.38772,0.213195,0.404699
0.0526225,0.904615,0.000392098,0.000270396,0.000538668,0.00114073,0.00167158,0.00229854,0.0041126,0.00882152,0.0195452,0.0635081,8.80271e-05,0.606489,0.980846,1,43.4396,0.387651,0.316806,28.5387,0.981555,65.006,0.992182,179.951,1.27204,260.805,0.874236,297.798,0.417374,0.20641,0.408234,0.222247,0.453014
0.0501518,0.728388,0.000460113,0.00031819,0.000650721,0.000802618,0.00109389,0.00146807,0.00257718,0.00521957,0.0113801,0.035788,0.000123023,0.369492,0.938253,1,38.6513,0.352862,0.241563,28.4922,2.28729,63.618,1.64183,180.476,1.45179,260.861,1.14633,298.38,1.17397,0.195892,0.399881,0.215578,0.448184
0.0576066,0.782816,0.00029052,0.000362912,0.000522582,0.00118245,0.00156781,0.00207096,0.00410133,0.00872335,0.0192737,0.0608769,8.19405e-05,0.628499,0.99657,1,52.5405,0.323041,0.316767,27.2427,0.473813,64.3111,1.55442,177.802,0.995801,263.658,0.308623,294.233,1.24828,0.185686,0.370033,0.179411,0.38153
0.0506779,0.771571,0.000384937,0.000276622,0.000478167,0.00104842,0.00146264,0.00192589,0.00372473,0.00780404,0.0171552,0.0557097,8.64583e-05,0.566204,0.947253,1,49.2692,0.364425,0.2638,27.9026,1.45335,64.6453,3.21844,179.072,1.53846,258.626,1.48929,294.804,0.818566,0.186857,0.384346,0.192098,0.367039
0.0469561,0.694987,0.00036695,0.000360962,0.000566241,0.000872886,0.00119738,0.00162939,0.00305307,0.00649777,0.0144663,0.0480993,9.24677e-05,0.517653,0.997745,1,65.3031,0.352633,0.233892,28.0334,1.78284,65.5151,0.479572,178.822,1.18642,260.452,0.729838,300.251,1.4688,0.18358,0.36502,0.190682,0.40759
0.0550765,0.782352,0.000448756,0.000409573,0.000626602,0.00106321,0.0014011,0.00192859,0.00365507,0.00785395,0.0172583,0.0544685,0.000106672,0.430748,0.99664,1,47.6425,0.319752,0.295912,28.2448,1.41602,63.0444,0.707537,177.69,0.865031,259.378,0.475142,297.24,1.45991,0.196882,0.404813,0.21815,0.43181
0.0553789,0.74635,0.00054544,0.000491026,0.000736061,0.00101943,0.00141941,0.00191714,0.00354109,0.00744285,0.0165243,0.0539092,0.000109866,0.364595,0.955479,1,53.852,0.31798,0.281091,28.6143,0.982144,63.1173,1.47007,181.208,2.14597,260.561,2.0716,295.32,1.10107,0.212699,0.418136,0.202753,0.423117
0.0490887,0.813085,0.000290531,0.000315383,0.000416252,0.000843842,0.00115039,0.00152089,0.00285303,0.00579334,0.0124625,0.0393904,0.000110491,0.462334,0.946245,1,51.4471,0.422376,0.263195,28.8028,0.945006,64.709,0.980258,179.88,0.514166,263.106,1.09841,295.201,0.974164,0.212519,0.418202,0.224476,0.455988
0.054353,0.696443,0.000486432,0.000409145,0.000545959,0.000882843,0.00122082,0.00161494,0.00301891,0.00653607,0.0142578,0.0447247,8.85622e-05,0.420808,0.988125,1,81.1005,0.346368,0.265354,27.3186,0.524757,63.8043,1.71171,179.101,1.06318,258.968,0.301442,298.461,1.88095,0.189825,0.371205,0.213636,0.400488
0.0539004,0.816353,0.000476366,0.000361791,0.000705908,0.00103504,0.00137976,0.00191017,0.00361698,0.00743543,0.0164963,0.0525583,0.000107356,0.401291,0.959926,1,42.474,0.356534,0.291337,28.9128,1.88925,64.1377,1.2258,177.771,0.806756,261.699,1.86311,295.958,0.667471,0.214127,0.418698,0.217071,0.448752
0.0590727,0.832278,0.000599889,0.000476323,0.000961559,0.00105139,0.0014438,0.0019671,0.00363663,0.00760671,0.016981,0.053825,9.5788e-05,0.38033,0.982067,1,84.3189,0.356688,0.326065,28.3685,0.541413,62.7257,1.61985,180.132,0.63729,261.17,0.304804,294.87,0.790334,0.213227,0.422176,0.23146,0.451588
0.0605278,0.797474,0.000595738,0.000649793,0.000865269,0.00113229,0.00157093,0.00210131,0.00380418,0.00768367,0.017515,0.0545737,0.000104698,0.391754,0.954864,1,102.862,0.316245,0.320336,28.823,1.02906,63.9091,1.34258,180.951,1.27704,262.219,0.290647,294.988,1.10964,0.215283,0.422012,0.215238,0.439887
0.0529344,0.618846,0.000465214,0.000353758,0.000625453,0.000666424,0.000985987,0.00130482,0.00234147,0.0052365,0.0110952,0.0348185,0.000169243,0.35845,0.989558,1,61.4027,0.264891,0.250848,28.8551,1.04886,61.7265,1.06448,178.359,0.497308,260.412,0.632051,295.429,2.91293,0.214448,0.422067,0.234827,0.447863
