"epsilon","zeta","nu_short[1]","nu_short[2]","nu_short[3]","nu_short[4]","nu_short[5]","nu_short[6]","nu_short[7]","nu_short[8]","nu_short[9]","nu_short[10]","inoculum","beta_short[1]","beta_short[2]","beta_short[3]","r","alpha","gamma","x0","k0","x1","k1","x2","k2","x3","k3","x4","k4","u1","u2","u3","u4"
0.060839,0.769109,0.000475676,0.000450922,0.000600154,0.00114488,0.00165988,0.00217294,0.00409576,0.00814008,0.0176146,0.0567772,5.61256e-05,0.521983,0.937115,1,46.993,0.399828,0.31136,27.459,0.347349,61.9335,1.82539,177.699,0.403507,261.31,1.99006,298.23,0.289487,0.189359,0.365955,0.198307,0.412858
0.0545251,0.648763,0.000183938,0.000171059,0.000336002,0.000776798,0.00107811,0.00137844,0.00268092,0.00511866,0.0114495,0.0351471,0.000176278,0.545001,0.904748,1,56.5302,0.260605,0.251302,28.2517,2.07179,65.0529,1.13068,179.439,4.20503,261.181,0.257623,295.133,0.618908,0.201954,0.405217,0.195684,0.413989
0.0599706,0.843639,0.000537213,0.00059006,0.000850624,0.00100338,0.00144046,0.0018399,0.00353059,0.00733789,0.0157853,0.0480707,8.63644e-05,0.380924,0.949198,1,54.0027,0.395602,0.330575,28.8966,0.527105,60.1243,2.12407,179.056,0.352307,261.188,0.345465,297.904,1.10085,0.224949,0.436122,0.263237,0.505786
0.0575454,0.813572,0.00051344,0.00038649,0.00059793,0.000893784,0.00119462,0.00165532,0.00290477,0.00598531,0.0135854,0.0414108,0.00012111,0.385734,0.960861,1,44.6327,0.35589,0.310978,28.5175,0.590963,61.8054,0.54957,177.489,1.44922,261.183,2.5943,296.927,2.23469,0.21992,0.433271,0.266189,0.498086
0.0561562,0.787971,0.000289258,0.000423469,0.000639566,0.00083002,0.00112791,0.00148361,0.00284199,0.00588097,0.0123472,0.0388848,0.000109528,0.399031,0.949511,1,64.9571,0.378783,0.291461,28.221,0.789458,62.7777,1.52165,178.89,0.800582,261.189,1.06679,299.224,1.23186,0.210005,0.414087,0.258074,0.484853
0.0529487,0.856251,0.000511978,0.000340115,0.000571533,0.000814493,0.00112021,0.00151819,0.00272122,0.00577655,0.0127578,0.0384919,0.000134163,0.401226,0.963992,1,50.6054,0.38967,0.292188,28.3215,1.43155,65.1346,1.06931,180.024,1.82096,260.216,1.55589,296.936,0.760464,0.214653,0.434317,0.26404,0.497478
0.0489019,0.805175,0.00047848,0.000446639,0.000644832,0.000795856,0.0011125,0.00143417,0.0027412,0.00579109,0.0127045,0.0390555,0.000111229,0.365665,0.997111,1,91.7493,0.404579,0.263439,28.6454,2.20442,64.6461,1.39868,178.586,1.22801,261.685,1.41898,295.998,0.384496,0.202846,0.412241,0.22133,0.480723
0.0558247,0.77099,0.000519935,0.000457453,0.000734901,0.000765962,0.00104245,0.00147478,0.00265264,0.00554875,0.0121466,0.0365733,0.000141103,0.318727,0.969507,1,54.9259,0.338512,0.288406,28.4268,0.731033,64.0946,1.14554,180.03,3.92745,259.323,0.450256,296.544,4.60642,0.217797,0.436242,0.263139,0.488708
0.0541411,0.775713,0.00036305,0.000435987,0.000716656,0.000772358,0.000998655,0.00136041,0.00244752,0.00519619,0.0113897,0.034834,0.000122587,0.328793,0.987037,1,57.7051,0.36388,0.283959,28.6677,1.0634,63.6356,1.51004,181.474,3.47374,259.828,0.960279,297.207,0.56823,0.220305,0.42959,0.266965,0.493639
0.0627063,0.857479,0.000381439,0.000398907,0.000693214,0.001101,0.00160628,0.00211905,0.00385026,0.00778823,0.0167702,0.051575,8.9729e-05,0.468882,0.91713,1,48.5656,0.354543,0.33901,28.9453,1.22277,64.6581,1.88184,176.688,0.623095,261.164,0.96221,297.291,2.39001,0.207033,0.4139,0.238791,0.461829
0.0613094,0.85495,0.000513083,0.000453174,0.000673892,0.00114345,0.00155931,0.00208786,0.00378194,0.00781469,0.0167101,0.0519024,9.47357e-05,0.445559,0.929355,1,44.5417,0.348404,0.331211,28.6874,1.32596,65.4622,0.581238,179.179,1.07133,260.894,1.29194,297.797,1.41043,0.209019,0.41407,0.229253,0.456797
0.0572717,0.972724,0.00050992,0.000426863,0.000676578,0.00128745,0.00171969,0.0023738,0.00442074,0.0085681,0.0187145,0.0586328,6.46585e-05,0.482276,0.905267,1,46.7803,0.498464,0.329498,28.5708,2.95538,64.4771,0.596513,178.654,2.3236,262.996,1.27578,294.878,0.578359,0.203305,0.405061,0.209084,0.442561
0.0583121,0.624261,0.000240864,0.000185104,0.000323386,0.000690752,0.000901953,0.00127385,0.00236155,0.00484235,0.0105717,0.0317153,0.000152751,0.533284,0.937274,1,64.907,0.266114,0.273891,28.6337,0.777823,60.5535,0.874053,180.575,0.614641,257.446,0.716119,300.719,0.382711,0.211751,0.419795,0.259645,0.510103
0.0596765,0.680807,0.000285797,0.000281503,0.000429194,0.000730369,0.0010683,0.00134919,0.00263603,0.00564437,0.0127087,0.0373153,0.000170901,0.501211,0.985698,1,90.7156,0.239514,0.293763,28.14,1.13449,65.4035,1.94116,180.599,0.287743,259.36,0.955498,296.951,3.83031,0.195779,0.411258,0.223195,0.459513
0.062635,0.751747,0.000503618,0.000403677,0.000618878,0.00115206,0.00150526,0.0021781,0.00378337,0.00821113,0.0175453,0.0571534,7.37674e-05,0.49665,0.989908,1,40.3612,0.305831,0.322563,27.8571,0.699258,64.3111,0.904691,181.22,0.428063,260.17,1.45441,297.471,0.465509,0.185422,0.370674,0.196032,0.395292
0.060866,0.723142,0.00029884,0.00030706,0.00044156,0.000892967,0.00127332,0.00174084,0.00313635,0.00660723,0.0150006,0.046491,9.87266e-05,0.547577,0.995488,1,86.1034,0.294116,0.310985,27.4532,0.73252,63.5702,1.25539,177.961,1.68002,260.053,0.768037,299.587,0.646754,0.182547,0.376239,0.217682,0.438573
0.05507,0.654955,0.000308417,0.000336518,0.000465559,0.000737033,0.000954397,0.00138416,0.00243126,0.00518025,0.0110289,0.0347686,0.000115598,0.416345,0.959644,1,46.2498,0.31092,0.253764,27.7174,0.607251,63.0196,1.80847,180.919,0.345656,260.672,0.411925,295.471,1.73553,0.19075,0.383789,0.206152,0.409658
0.0580962,0.760027,0.000822228,0.00069253,0.000900293,0.001005,0.00146426,0.00180415,0.00332334,0.00721422,0.0161647,0.0499267,9.46288e-05,0.313075,0.983134,1,58.4392,0.33815,0.29801,28.187,0.606098,62.4555,1.9902,177.017,0.482696,260.151,1.07015,296.555,1.07049,0.201671,0.401158,0.222991,0.433658
0.0624477,0.757951,0.000499844,0.000785981,0.00109393,0.000955755,0.00131424,0.00185339,0.00322246,0.00667574,0.0146796,0.0456846,8.95121e-05,0.309354,0.9735,1,71.6315,0.317863,0.30983,28.1883,1.19923,64.505,1.78586,178.737,0.961225,262.221,0.673045,298.175,2.73651,0.190861,0.385928,0.21203,0.441731
0.0626067,0.751785,0.000498035,0.000768349,0.00106535,0.000945783,0.00128919,0.00182639,0.00317816,0.00658497,0.0145134,0.0451515,9.10895e-05,0.309771,0.973169,1,72.0316,0.315432,0.309652,28.1961,1.25852,64.458,1.73175,178.592,0.944989,262.235,0.714956,298.215,2.71842,0.192727,0.387117,0.211216,0.4416
0.057148,0.841731,0.00109632,0.000578252,0.0011408,0.00123933,0.00161651,0.00205326,0.00397959,0.00762852,0.0170451,0.0536376,9.52488e-05,0.281445,0.914167,1,54.2698,0.380143,0.295666,28.9454,0.669183,65.5066,0.826297,180.422,2.14003,263.063,2.11552,294.877,0.571273,0.218143,0.420944,0.20414,0.450219
0.0597132,0.822373,0.000437428,0.000632937,0.000719469,0.000957776,0.00129755,0.00180103,0.00313974,0.00644252,0.0138381,0.044147,0.000105054,0.38086,0.937732,1,65.4892,0.36632,0.314556,28.4209,1.23201,63.3197,3.95439,179.145,0.950101,260.662,0.467228,293.847,1.96954,0.211526,0.424369,0.242431,0.440763
0.0632082,0.84978,0.000839886,0.000504709,0.000894934,0.001172,0.00163847,0.00212941,0.00410081,0.00860556,0.0183565,0.0562097,8.05418e-05,0.39589,0.967361,1,52.838,0.371433,0.351395,28.4727,0.660454,63.1685,0.857731,179.911,0.281552,262.336,0.259443,295.617,0.313102,0.218578,0.42015,0.226722,0.451552
0.0607965,0.748685,0.00029824,0.000411744,0.000543901,0.000903864,0.0012319,0.0017144,0.00297505,0.00621569,0.0138732,0.0432729,0.000134117,0.440336,0.977804,1,62.6161,0.284044,0.30618,27.3089,1.71311,65.905,1.71,180.489,0.271331,261.295,2.05942,297.13,0.470547,0.18821,0.395946,0.2063,0.431033
0.0486312,0.755181,0.000467459,0.000285325,0.000416123,0.00101064,0.00140321,0.00187585,0.003435,0.00715049,0.0153624,0.0497572,6.27638e-05,0.569421,0.914662,1,47.5564,0.475173,0.246963,28.0758,0.706667,64.0386,2.50132,179.254,0.464532,260.643,0.274285,296.869,3.29534,0.200246,0.376365,0.202844,0.362023
0.0557061,0.833368,0.000225061,0.000282116,0.000551774,0.00118648,0.00157681,0.00218999,0.00409164,0.00840316,0.0172734,0.0571828,7.03263e-05,0.584622,0.905469,1,64.5143,0.407627,0.291579,26.901,0.809784,62.9832,1.00366,178.289,1.06471,259.285,0.364697,298.045,0.628124,0.177689,0.36817,0.195043,0.396905
0.0598005,0.794166,0.000234122,0.000351673,0.000511521,0.00119773,0.00159375,0.0022765,0.00394142,0.0084298,0.017334,0.0564856,6.95173e-05,0.590704,0.910363,1,62.8569,0.369105,0.305336,27.0443,0.469552,64.2327,2.31768,179.949,0.683447,259.727,0.455362,297.809,0.926655,0.18053,0.363386,0.197606,0.386603
0.04694,0.818276,0.000246776,0.000185797,0.000338444,0.000772468,0.00107775,0.00157469,0.002731,0.00538693,0.0121995,0.0359654,0.000116074,0.59009,0.903216,1,43.2295,0.448922,0.247774,27.8958,1.24046,65.3953,0.883944,179.573,2.73702,260.664,2.4257,299.763,0.666194,0.200603,0.40398,0.226449,0.47655
0.057447,0.739913,0.000456627,0.000377619,0.000607203,0.000829351,0.00118559,0.00164087,0.00312978,0.00647774,0.0147069,0.0445521,0.000141862,0.423,0.988637,1,65.0168,0.296098,0.310683,29.457,1.3669,61.1115,3.86737,178.765,0.544012,261.529,0.48224,297.535,0.386676,0.237444,0.448104,0.259994,0.512048
0.0520664,0.805526,0.000319442,0.000340783,0.000555312,0.000910437,0.00122354,0.00163364,0.00294079,0.00650822,0.0146022,0.0451709,0.000131202,0.441291,0.991736,1,71.7197,0.362818,0.294684,28.8387,0.641499,62.7476,1.28271,181.649,0.959598,259.435,0.309801,298.371,0.442546,0.236712,0.453808,0.264842,0.521401
0.0496983,0.723351,0.000369875,0.000326836,0.000519571,0.000861774,0.00115826,0.00160488,0.00308737,0.00637558,0.0140844,0.0439672,0.000117569,0.500756,0.966952,1,52.6029,0.340954,0.260411,29.0723,1.61686,62.9573,0.462683,180.334,0.381055,260.898,0.312745,297.841,0.955631,0.22282,0.419195,0.230131,0.456349
0.04834,0.779091,0.00040202,0.000287677,0.000486055,0.000810124,0.00108525,0.00150087,0.00268127,0.00551714,0.012122,0.0377168,0.000154829,0.458488,0.957804,1,66.2386,0.338501,0.255643,29.0038,3.14124,63.4995,1.35721,179.268,0.31541,261.652,0.440656,295.812,1.09879,0.208744,0.435705,0.223236,0.472513
0.0655442,0.700114,0.000426187,0.00030483,0.000525086,0.000786712,0.00107401,0.00144639,0.00267557,0.00534146,0.0115831,0.034156,0.000124006,0.412819,0.930738,1,44.5951,0.30263,0.309554,27.2676,0.38958,63.605,1.1147,180.67,0.269249,258.559,1.5888,299.055,1.04444,0.206008,0.398891,0.262485,0.475524
0.0445227,0.745162,0.000308097,0.000260817,0.000313498,0.000625504,0.000840897,0.00113766,0.00207719,0.00447166,0.00971587,0.0308511,0.000168808,0.488401,0.98367,1,64.7471,0.367822,0.23624,29.0194,2.09023,64.1807,2.23686,179.816,1.07466,262.321,0.427996,296.538,0.549489,0.216213,0.435832,0.238841,0.509213
0.0416415,0.760244,0.000269473,0.000281995,0.000551249,0.000701908,0.000971799,0.00130233,0.00245043,0.00525039,0.0115878,0.0356259,0.000150655,0.429237,0.988733,1,42.6141,0.40558,0.225679,29.636,2.34142,63.8864,2.38642,179.533,2.81568,263.294,0.321831,295.332,0.849857,0.228506,0.441423,0.21795,0.481597
0.052293,0.840314,0.000896665,0.000538361,0.0010665,0.000815782,0.00112123,0.00150115,0.00266738,0.00561162,0.0122166,0.0386551,0.000120343,0.217026,0.990751,1,71.7753,0.419888,0.282874,28.3045,0.56269,63.5435,0.853347,179.555,0.696227,258.787,2.17535,297.691,1.98969,0.214828,0.435162,0.27839,0.508293
